chromosome	position 1	position 2	2.R2	1.R1	2.R1	1.R2	3.R2	3.R1	1.R3
Z	2329	16577				1354			444
Z	6576	10823				1438			373
Y	1507	14385	159	630	369	246	429	878	325
W	7124	7261	645	1334		716	1190	1093	967
Z	7261	17262				1169			348
Z	8357	8905				1516			517
Z	1096	22057				574			134
Y	9864	21509	231	1105	638	362	645	917	323
X	2466	4658	658	788			1221	1060	1210
Y	4521	11919	191	1046	493	452	546	956	330
Y	8494	11782	467	1524	1052	615	965	1323	574
Z	3562	14659				1456			524
Z	1781	20413				430			139
Z	18084	25071				1002			326
Z	18221	24934				987			337
Z	2329	13426				917			343
Z	12604	23016				1105			389
W	2192	6987	362	710		375	647	606	575
X	6302	7124	803	1123			1488	1614	2067
Y	3973	4247	440	1724	767	633	949	1347	606
Y	1507	21646	79	434	220	91	326	314	117
Z	6165	6713				1562			412
X	5069	15070	303	358			625	641	625
Z	19043	27126				868			303
Z	2740	26030				474			80
Y	13289	21509	246	1065	505	366	532	1100	403
Y	411	10823	185	780	540	262	568	922	258
Z	3014	7124				1163			418
W	411	6987	362	540		342	580	512	656
W	9179	10138	654	1283		596	896	998	880
X	6165	11919	565	703			935	1027	1145
Z	1918	20687				415			155
Z	4110	5754				1658			558
Y	1507	20276	124	532	258	252	231	688	183
Z	2055	19180				486			177
W	2603	10001	248	462		272	415	464	419
Z	4795	13974				1328			445
Y	12741	19043	267	1470	633	404	730	1319	394
X	6028	9590	937	1091			1626	1619	2182
Y	11097	17810	246	1061	525	317	532	907	421
Z	1507	2466				1954			728
Z	685	25893				427			92
X	11645	14385	526	869			990	1134	1362
Z	3836	21646				940			260
Z	7672	7809				1384			487
Z	2877	12330				927			336
Y	1781	3699	327	1292	639	445	637	1129	315
X	10960	14385	671	772			1085	1092	1296
Y	5617	15481	225	880	422	351	502	1042	311
X	8905	14796	428	517			770	821	889
Y	2466	20276	172	492	240	182	305	388	216
Y	11371	21372	271	1031	627	435	812	1050	349
Y	7398	11234	475	1996	908	631	1336	1615	749
Y	7261	11645	452	2000	912	603	1051	1675	592
Z	13837	21920				1481			365
X	959	2877	478	658			941	988	1035
Z	959	10001				1072			370
Y	13289	19591	377	1404	701	493	781	1931	584
Z	14248	15207				1396			526
Y	274	9864	189	738	530	303	571	876	276
Z	1918	19454				569			166
Z	8631	21646				943			280
Z	15207	24523				1668			382
Y	16988	16851	319	1401	606	513	774	1346	415
Y	2603	6439	351	1717	796	617	1015	1419	561
Z	18495	22057				1281			413
Z	25893	26030				1538			497
X	6165	6576	899	1443			1678	1869	2270
Z	1370	19043				802			145
Y	10823	13974	348	1509	795	519	684	1229	470
Z	10138	21235				768			363
Z	274	10823				1008			345
Y	21098	16577	421	1522	582	530	949		482
X	3836	10001	785	915			1122	1258	1189
Y	12330	18221	193	1042	471	361	617	766	389
Z	16303	17947				1722			429
Y	7946	9316	445	1497	968	624	992	2045	645
Z	15070	19728				1545			427
Z	4932	9453				1463			713
Z	7261	13700				1537			406
Z	6576	20276				753			191
X	12878	15481	669	860			974	1112	1382
X	9590	13563	569	770			1060	1198	1144
Z	4932	26852				453			97
Z	6028	6850				1160			413
Z	6850	24249				1125			284
W	3014	7672	337	648		340	497	493	523
Z	2740	11645				1223			410
Z	11097	17399				1245			436
X	12330	16029	624	632				1110	1313
W	137	10823	94	262		194	241	227	238
X	9179	14659	418	476			943	829	935
Y	6713	16577	334	1191	550	342	553		394
Y	19317	15892	296	1259	562	420	676	1471	509
Y	11782	16577	317	1503	581	563	759		578
Z	5891	25071				438			151
Z	10001	20276				1089			284
Z	6850	10823				1145			390
Y	2055	6987	420	1471	872	613	855	1845	598
Y	12878	19865		1712	575	640	650	1440	526
Z	7535	20961				677			170
Z	2466	27263				531			143
Z	20276	22331				1094			355
X	959	12330	380	351				630	686
Y	3014	10138	308	1538	527	382	583	1091	425
Z	1233	18632				598			177
Y	16851	16166	397	1460	712	458	834	1298	492
Z	5617	18906				865			274
Y	8220	9727	456	1761	875	638	982	1341	591
Z	2055	5617				1587			515
Y	10412	20276	334	1266	789	430	644	1214	427
Y	3699	13426	308	1039	605	434	565	899	425
Z	14796	16303				1789			522
Y	9727	15618	347	1526	815	456	933	1373	462
Y	13974	20824	294	1313	546	497	684	943	331
Y	11097	19454	274	816	529	333	503	827	287
Y	11919	17673	230	852	503	330	545	844	319
Z	5754	13563				1262			444
Z	17673	24523				867			358
Z	5754	8220				1657			423
Y	8083	17947	278	1139	536	439	604	1080	380
Y	822	12878	153	903	321	331	499	972	372
Y	8768	18769	197	911	491	302	436	643	287
Z	16029	23153				1658			459
Y	4932	16577	149	560	275	211	334		240
Z	22194	23564				1281			416
Z	15070	15618				2254			666
Z	8357	9590				1521			406
Z	9864	15344				1180			447
Z	12056	16577				1312			554
Z	10686	22605				860			395
X	2192	10823	321	627			638	642	855
X	1781	10001	460	485			642	658	729
Z	21783	21783				1485			475
X	4932	7124	782	799			1307	1369	1394
Z	9316	17810				988			411
Z	6302	14933				1634			383
Y	6713	17536	217	960	459	305	450	642	246
Y	2466	13289	192	661	333	246	363	715	206
X	9590	15344	424	588			745	848	878
Z	10001	22605				1010			368
X	8631	8768	791	991			1349	1415	1486
Y	13426	21509	243	1147	466	350	596	1143	405
Z	4110	7946				1476			448
Z	959	18769				509			158
Z	7398	16166				1549			450
W	1644	9316	231	393		221	299	302	279
Z	9316	20550				1185			271
Y	1644	9453	289	1229	650	401	615	1117	396
Y	21235	17536	265	1095	576	463	723	1141	464
Z	411	17947				610			167
Z	7535	15755				1813			547
W	1370	1781	484	713		453	761	894	768
X	4384	16303	427	387				507	658
Y	9864	11645	561	1826	957	645	941	1693	681
Z	10823	16029				1433			457
X	5617	13015	415	643			896	1090	964
Y	274	5480	330	1688	630	557	559	1317	475
Z	17810	17947				1262			445
Z	137	5617				1158			485
Z	411	25071				526			184
Z	13015	16166				1711			496
X	1781	12056	191	397			749	689	696
Z	16988	26715				1119			336
Z	6576	16851				1175			318
Z	16029	19728				1135			305
Z	9727	14933				1896			693
W	3973	5617	625	992		572	844	882	772
Z	15618	17125				1704			495
X	5343	13974	571	609			1097	1127	974
Y	5617	19591	245	1062	485	312	486	999	295
Y	7672	12467	394	1666	899	631	1154	1564	626
Y	4247	10686	240	930	521	398	507	1233	381
Y	3562	18906	163	617	479	211	359	664	238
Z	13289	23427				881			312
Z	8768	22331				940			288
Z	3699	16714				936			311
Y	15892	15481	371	1753	804	613	1034	1551	549
Y	11645	11919	500	1807	975	724	1005	2248	653
Y	11645	13837	409	1648	661	520	823	1292	494
Z	2466	24660				666			223
X	1781	4521	567	852			1341	1577	1221
Z	23427	24797				1923			538
Z	3425	12878				1021			500
Z	685	11782				1062			369
Z	5480	12467				1551			364
Z	19317	26304				927			305
Z	7946	15892				1497			453
X	4384	10686	711	797			1279	1233	1191
Y	3425	8220	335	1361	917	578	791	1327	520
Z	3288	13426				1545			491
W	4658	6302	682	1022		496	1007	1071	984
X	5480	8494	651	939			1462	1444	1458
Y	6302	6713	613	2104	945	718	1042	2547	758
Z	15207	17399				1635			509
Z	15755	26441				1312			479
W	685	6850	289	754		328	614	640	747
X	6576	11371	847	739			1372	1044	1754
Z	3014	6302				1702			540
X	10549	14796	677	893			1257	1422	1290
Y	6713	7809	564	2287	1246	819	1191	1690	719
Z	1233	25619				324			54
Z	9727	17399				1345			435
X	0	11097	411	415			764	748	885
W	4384	5617	592	1045		523	1001	1097	929
Z	2466	7946				1500			573
Y	19043	15070	283	1379	619	478	665	1274	409
Y	6028	10549	404	1374	670	572	687	1643	418
Z	1507	2740				1908			692
Y	137	14248	192	833	350	307	340	638	324
X	1507	4521	716	843			1261	1340	1510
Y	21509	15207	344	1410	615	647	779	1579	517
W	1644	2329	418	770		478	717	644	831
Y	1370	2877	360	1272	861	504	910	1457	356
X	3014	5891	671	1121			1602	1301	1700
X	685	7124	604	667			1059	1028	1009
W	4110	4384	711	1580		770	1079	1086	1418
Z	6576	15481				1502			407
Z	8083	15755				1399			541
Y	6576	7261	637	2430	1160	817	1405	2144	940
Z	6439	18769				918			303
Y	2055	14111	224	659	395	287	432	614	227
Z	3973	26852				375			93
Y	3562	18358	188	665	273	283	321	666	238
Z	9727	17262				1263			433
X	3836	13700	535	526			811	726	788
Z	2192	10001				1155			424
Z	274	16166				1148			434
Y	9453	17125	274	1208	627	414	544	1129	382
Z	3014	20961				757			233
Z	23153	26989				1358			400
Z	25619	26989				1253			418
Z	21235	26578				897			366
Y	3562	6576	364	1226	646	489	777	1434	416
Z	274	17810				573			134
X	8494	9042	687	920		564	1255	1444	1384
Y	1370	20276	103	491	225	256	284	422	183
W	4795	9590	349	643		382	505	627	587
Y	10275	15070	403	1602	701	487	672	1488	554
Y	3014	4795	284	1177	610	535	608	1195	442
Y	3699	12604	270	1167	482	346	611	1087	452
Y	10686	19728	281	986	685	318	503	804	348
Z	1370	16440				1486			408
Z	5754	19591				779			306
Z	3151	12604				1065			360
X	2603	5069	761	916			1433	1307	1381
W	4110	7261	444	868		525	787	781	749
Y	4247	19454	202	716	465	273	413	675	275
X	2055	12604	172	446			467	497	586
Z	19317	26715				818			297
Y	7261	17947	213	625	334	263	470	790	324
Z	16988	24386				1213			436
Y	2740	5891	317	1223	654	526	664	1204	512
Z	16577	25893				1295			401
W	6439	9590	530	907		537	824	728	1045
X	13700	14522	647	751			1170	1163	1397
Z	2192	23975				759			322
Y	3836	7535	359	1584	650	499	827	1365	660
Z	7124	13152				1031			409
Z	24249	25756				1501			450
Z	2329	15892				1391			417
Y	7946	11234	461	1613	852	599	777	1428	552
Z	4521	22879				630			229
Y	6302	10823	485	1890	824	521	781	1436	553
X	1507	10686	379	594			1012	765	931
Z	20413	22879				1224			442
Z	6713	26578				695			218
Z	21920	23838				1209			500
Y	2329	7809	394	1427	689	522	722	1195	386
Z	959	5480				1230			494
W	411	3288	419	689		332	700	664	618
Z	137	1233				1775			696
Z	10412	10823				1895			696
Z	3699	4521				1691			637
Z	959	24386				658			164
W	3014	6165	307	769		337	491	572	558
Y	10823	21646	296	889	512	316	631	895	312
Z	20824	27126				935			255
X	2603	5480	707	813			1241	1391	1789
Y	12330	16029	291	1511	690	589	851	1267	439
Y	19317	17399	306	1234	661	404	665	1024	451
Y	14111	17262	278	1277	618	433	724	948	427
Z	15892	23427				1761			546
X	5343	10001	694	1043			1323	1341	1733
Y	10960	11508	486	1817	1030	629	1244	1762	590
Z	2740	21509				477			184
W	822	6987	459	586		307	517	526	452
Y	18495	16714	247	1036	623	357	588	1020	342
Z	4247	20139				634			322
W	3699	10549	229	358		246	449	478	578
Z	11508	17262				1395			453
Y	18632	17536	284	1335	569	503	769	938	436
Z	10686	26304				687			267
Z	16303	19043				1066			431
Z	4110	8083				1399			412
Z	19454	20687				1190			458
Z	6713	14933				1186			346
Y	6713	18221	206	749	377	412	380	725	349
Z	2055	12330				1477			439
Z	411	8631				1359			346
X	2329	9453	424	473			708	733	925
Y	19728	18906	431	1651	943	577	833	1802	623
Z	11508	17125				1367			561
W	2329	9042	174	327		194	294	282	354
W	2329	8220	196	402		255	366	392	313
X	11371	13837	569	884			951	879	1305
Y	9179	11371	490	1889	1143	692	901	1541	645
Y	4110	12741	220	878	469	411	694	1208	361
Z	2329	6850				1520			448
Z	22742	22742				1332			563
Z	15207	15481				2053			877
W	2192	8083	338	398		277	438	510	384
Z	8357	11645				1370			467
Y	6165	16303	245	960	407	323	579	809	297
Z	6987	11234				1135			436
W	4658	6576	484	1227		533	702	930	831
Y	2603	9453	371	1377	771	482	767	1355	467
Z	18221	25756				1107			329
Y	1233	13837	217	652	389	264	562	1088	273
Z	7261	23290				840			347
Z	5343	21235				734			236
X	3014	15755	127	206			245	240	297
Y	1233	20002	126	707	226	218	204	410	149
X	3014	3425	827	894			1289	1373	1686
W	1233	1507	428	871		416	746	753	645
Y	2329	3425	314	1342	507	481	953	994	468
Z	4110	9727				1520			577
Z	16440	22331				1124			361
Y	4384	9864	306	1069	727	443	685	1047	332
Z	12741	18769				847			320
X	137	2055	539	710			1071	1042	1271
Z	4384	10412				1412			478
Z	3425	22605				655			292
Z	1781	10549				1113			409
Z	9042	20961				930			334
Y	3014	6439	391	1709	727	582	926	1377	549
Y	13974	21646	346	1083	522	409	710	1157	350
W	1233	7124	288	560		306	507	517	579
Z	12878	21646				881			342
X	6165	7535	889	1073			1169	1571	1566
Z	3425	10001				1528			528
Y	6987	21235	312	1326	478	400	741	929	360
W	6439	9179	460	773		509	1143	704	1000
W	4521	8905	417	575		393	691	680	541
X	2740	9042	515	631			1004	840	990
W	1507	7809	202	471		251	401	431	470
Z	10275	17262				1495			471
Z	0	22057				334			103
Z	1644	25893				274			77
Y	13974	16714	281	1164	731	461	831	1061	442
Y	7809	7809	559	2125	1042	648	1366	2101	845
Z	11645	25756				934			336
Z	4932	22331				759			242
W	2055	7261	383	748		432	482	568	669
Z	5891	6439				1540			611
Z	24112	24249				1772			636
Y	685	16440	101	419	216	146	267	407	122
Z	2329	4932				1573			401
Z	3288	6987				1362			409
Z	13289	24112				1057			294
X	14248	14659	599	661			1320	1149	1234
Z	7535	27126				691			232
X	2329	3288	623	854			1105	958	1600
W	6713	7124	886	1263		714	1393	1226	1135
Y	2055	13015	270	840	426	285	467	689	254
W	3836	7124	498	868		489	712	830	671
Z	274	2466				1580			480
Z	14659	22605				1209			419
Y	5069	6987	366	2098	897	604	934	1482	458
Z	15892	24797				1461			498
Y	8494	16988	251	1012	622	416	630	1113	404
Y	6439	6987	510	2513	1000	863	1378	2406	794
Z	20687	22331				1219			422
X	1918	9316	529	374			611	531	867
W	548	6850	379	635		349	600	558	676
Z	10686	18495				1235			404
Z	11097	25071				805			262
Z	2329	13974				1036			363
X	822	3973	610	876			900	1215	1381
X	1507	10412	461	501			891	898	1051
Y	5480	5480	485	1803	792	637	1173	1735	560
Y	9179	16166	472	1288	755	478	715	1235	433
W	0	7124	337	524		285	469	451	623
Z	7672	10686				1233			426
Y	3014	19591	95	464	198	129	268	584	172
Z	18084	21372				1108			381
Y	7672	7946	516	2371	1176	811	971	1810	568
Y	20961	15755	511	1772	759	477	1020	1565	534
Z	13152	26989				619			258
Z	4110	26167				398			123
Y	3973	5343	433	1593	862	564	949	1763	508
Y	8083	13563	443	1984	788	615	813	2037	689
Y	9316	19728	243	1126	507	336	551	793	308
X	1918	5069	827	600			1169	1161	1043
Z	7398	16303				1417			429
X	411	2877	544	514			833	882	1211
Y	17536	16029	281	1134	539	368	570	1143	364
X	2466	5754	826	758			1178	1715	1562
Z	11919	11919				1802			783
W	5343	6987	485	1085		525	975	808	1102
X	4384	15207	419	414			841	682	773
Z	12878	19043				1103			292
Y	3562	17810	174	768	362	210	525	525	252
Z	26304	26441				1645			536
Z	14522	15070				2051			615
Z	15070	22742				1298			399
X	1233	8905	357	394			551	611	694
Y	8083	19591	385	1669	642	591	632	1558	470
X	137	7124	477	636			988	916	934
Z	1644	20550				444			190
Y	6987	21509	275	960	522	379	627	896	308
X	5617	11097	633	689			1149	1334	1313
Y	1781	3973	317	1208	603	423	695	1262	424
Y	11782	16029	407	1388	667	512	1000	1401	466
Z	6987	11645				1556			350
Y	1233	12056	194	779	446	296	431	755	341
X	5069	12056	567	618			911	844	1033
X	1096	8083	401	517			640	692	761
Z	6439	25482				847			269
Z	25071	27126				1378			552
Z	5617	21098				838			296
W	2877	10686	219	475		247	416	314	383
Y	12741	21509	311	1054	625	368	618	1179	395
Z	1370	10686				1032			416
Z	4658	7124				1405			385
Z	3562	19591				878			270
X	10275	13837	644	758			1032	974	1167
Z	7398	10549				1504			432
Y	21098	16303	296	1613	751	541	820	1538	591
Z	3014	23838				745			175
W	5069	10823	336	713		326	473	598	602
Y	3836	12604	229	1022	407	362	747	920	415
W	6987	8494	386	750		514	931	682	662
Y	3288	11234	271	937	610	398	570	1005	357
Z	5343	9042				1739			624
Y	6713	18906	206	731	427	236	474	585	240
Y	9179	15344	350	1559	771	642	893	1575	545
Y	7946	20961	324	835	536	336	475	872	326
Z	12878	21920				862			375
Y	6028	20276	165	606	421	275	462	646	248
Z	5206	13563				1533			442
Y	5069	5617	435	1644	779	641	1201	1632	638
Z	19728	24934				884			297
Y	5069	12741	262	1322	610	486	642	1067	420
X	3425	13426	373	379			867	810	926
Z	2466	22194				420			166
Y	20139	16440	379	1454	754	485	750	1230	427
W	1096	4247	357	555		386	673	570	634
Z	4795	12604				895			327
X	5617	15481	293	309			626	664	741
Y	137	19180	183	543	231	247	153	220	178
Z	11782	18084				1238			516
Z	10138	19728				1154			308
Z	6165	14659				1135			381
Z	25071	25893				1277			386
Z	2603	5754				1615			495
Y	10823	19043	333	952	533	306	499	843	323
X	6165	14796	456	575			661	724	946
X	5617	12741	500	576			819	990	956
Z	9042	19728				1047			310
Z	8083	11919				1467			441
Z	2740	19591				600			213
Z	3288	24112				418			155
Z	6576	22057				615			230
X	959	2055	512	676			1210	1162	1329
X	685	13289	188	222			383	379	729
Y	5069	16851	178	629	358	227	347	518	204
Z	22468	24249				1294			478
Y	3425	9453	259	1097	559	407	760	1039	422
Y	8905	21235	320	1344	559	408	594	1077	478
Z	9864	21920				799			336
Z	6028	15070				1165			479
Y	14933	14933	530	1896	1044	767	906	2124	689
Z	0	1644				1911			550
Y	19591	15892	330	1196	719	482	683	1019	389
Z	13289	18906				1091			386
Y	1507	6987	421	1217	811	468	866	1820	641
Y	6302	19180	236	763	330	337	483	753	308
Z	548	21920				336			102
Y	5480	18906	232	955	417	366	468	902	348
Y	4932	10823	270	1119	494	464	652	1084	354
Y	3288	15481	277	739	610	302	517	1016	330
Z	5891	18632				981			385
Y	2740	15344	226	1117	399	272	535	773	298
Z	3014	3836				1916			483
Z	9453	16988				1188			448
Z	13152	23701				986			291
Z	0	12193				702			350
Y	4932	13289	330	1242	524	543	697	1125	421
W	1507	9864	229	529		223	348	319	331
Y	4247	8631	337	1244	646	499	673	1031	378
X	6302	15892	345	374			676	651	781
Y	7672	11645	510	1939	853	699	848	1727	570
Z	1096	3288				1592			599
Z	14659	15207				2115			599
Z	3699	20002				844			339
W	274	1507	417	895		456	853	705	688
Z	22057	27126				1003			339
Z	2603	18632				724			226
X	1096	5617	563	656			1092	1066	1096
Y	3151	10686	292	1278	673	535	621	1205	410
Y	11371	18221	265	826	450	333	691	873	388
W	7535	10686	514	819		388	712	745	770
X	15755	16166	567	822			1246	1345	1250
Y	137	13563	209	1049	407	356	354	606	311
Z	10686	19180				1279			377
Z	5069	13837				1289			516
Z	3151	18632				912			274
Z	10549	10823				1964			547
X	1233	13015	350	376			603	643	565
Z	685	6987				1364			508
W	1096	8220	165	305		190	270	271	282
Z	24660	25071				1696			631
X	13563	15755	623	674			881	1025	1178
Y	6987	15207	381	1653	855	622	970	1663	634
X	11097	13015	691	807			1283	1449	1547
Y	1096	13426	263	824	476	336	459	808	294
Y	14248	14248	396	1730	934	624	1117	1572	623
Y	2466	14522	176	880	384	352	353	732	407
Z	15892	22194				1275			366
Y	11645	19728	266	1197	544	457	531	893	390
Y	17947	14659	276	1205	665	438	719	1423	379
Y	10001	19591	263	923	478	321	516	1002	375
Y	6987	9179	535	1801	946	618	1098	1880	705
X	1370	11645	295	504			646	795	888
Z	1370	9453				1023			377
Z	4247	6850				1149			437
Y	274	16303	82	345	247	137	334	696	151
Z	17262	21783				1340			453
X	0	6165	464	588			901	823	918
Y	7261	19043	237	1148	362	328	460	656	304
Z	5891	10412				1465			495
Z	6850	7809				1596			472
Z	17536	21783				1456			448
W	3699	8905	390	635		305	646	660	490
Z	7535	18221				794			272
X	6987	11919	682	913			1112	1179	1306
Z	10412	15892				1430			407
Y	16166	14933	407	1611	683	603	841	1373	673
Z	8083	14522				1260			418
Z	411	14933				683			338
Z	18632	21646				1187			546
Z	14248	15892				1425			682
Z	2740	23153				596			208
Y	14111	19180	399	1512	741	516	822	1590	472
Y	6165	21372	167	587	330	237	310	531	220
X	1233	4521	671	936			1290	1262	1517
Z	15344	18906				1136			433
Z	23016	24934				1346			553
Z	16851	17125				1468			553
Z	1644	26167				379			93
Z	1233	16851				934			402
Z	3014	25619				532			190
Z	7398	10686				1175			443
Y	10549	15344	357	1483	776	594	910	1237	500
W	7535	7672	579	1317		615	830	977	855
W	4384	6302	528	1094		576	931	970	896
W	2329	3836	396	777		477	884	694	790
Z	11919	17399				1406			547
Y	9590	16029	273	1353	661	571	721	1273	455
Z	6028	14796				1301			540
Y	4932	7398	365	1610	915	538	883	1505	545
Z	10412	18358				1190			372
Z	6713	8905				1113			471
Y	9042	19180	300	1133	518	461	432	812	353
X	685	12604	214	396			641	584	508
